filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
subset.fast5	7e3f5f96-80bd-407a-b051-47d2d014e806	6a94eb36563a9975b38e81c41534f6590c24867c	0	17	1	14964.219750	21.479000	17183	TRUE	14964.237250	17169	21.461500	8443	12.462764	3.214556	73.032448	9.195369	73.032448	9.195369
subset.fast5	8873bca7-8695-4028-ad5d-549385e86256	6a94eb36563a9975b38e81c41534f6590c24867c	0	35	1	58588.835500	31.002250	24801	TRUE	58588.860500	24781	30.977250	11002	14.793786	3.152498	75.154457	9.725871	75.154457	9.725871
subset.fast5	8cd34d4e-2418-4421-ae9d-c6092ea892f7	6a94eb36563a9975b38e81c41534f6590c24867c	0	33	1	9634.018000	32.926000	26340	TRUE	9634.071750	26297	32.872250	12847	11.738888	3.173188	69.318932	9.018535	69.318932	9.018535
subset.fast5	960e289e-12ba-42ea-b537-e55702781da3	6a94eb36563a9975b38e81c41534f6590c24867c	0	32	1	4410.930250	29.005250	23204	TRUE	4410.960250	23180	28.975250	11948	12.113592	3.246328	72.501945	9.549037	72.501945	9.549037
subset.fast5	9842ec51-e0f3-4d06-80fc-9a949ac8b684	6a94eb36563a9975b38e81c41534f6590c24867c	0	40	1	28269.208000	30.692000	24553	TRUE	28269.251750	24518	30.648250	11959	11.975231	3.219347	75.861794	9.372203	75.861794	9.372203
subset.fast5	9ada4ab4-59de-4e21-8600-d9c418e6e295	6a94eb36563a9975b38e81c41534f6590c24867c	0	99	1	45616.928750	50.249250	40199	TRUE	45616.973750	40163	50.204250	12740	12.280317	2.801131	70.733604	9.018535	70.733604	9.018535
subset.fast5	9f7853cc-932b-4c38-bd09-4161b561a793	6a94eb36563a9975b38e81c41534f6590c24867c	0	23	1	20765.947000	59.490750	47592	TRUE	20766.012000	47540	59.425750	12850	12.567261	2.703630	67.020096	8.841701	67.020096	8.841701
subset.fast5	a6048f17-f235-474b-b603-7d407b4c13df	6a94eb36563a9975b38e81c41534f6590c24867c	0	28	1	85542.594750	41.626250	33301	TRUE	85542.618500	33282	41.602500	12852	11.544403	2.940407	69.318932	9.195369	69.318932	9.195369
subset.fast5	bd59610d-80e6-4c2c-adac-204a4e5d2dd8	6a94eb36563a9975b38e81c41534f6590c24867c	0	111	1	12106.613250	21.718250	17374	TRUE	12106.655750	17340	21.675750	9453	14.026648	3.340983	68.965263	8.664866	68.965263	8.664866
subset.fast5	be8295f9-0eaf-4203-a906-5018d4d829c4	6a94eb36563a9975b38e81c41534f6590c24867c	0	31	1	140.515250	29.262250	23409	TRUE	140.535250	23393	29.242250	8447	12.933152	2.947727	82.581490	10.786875	82.581490	10.786875
subset.fast5	a12bdba2-283e-4e20-848b-e9c69de9f3d4	6a94eb36563a9975b38e81c41534f6590c24867c	0	95	1	9495.643500	30.176750	24141	TRUE	9495.693500	24101	30.126750	11794	12.814583	3.212946	68.257927	9.372203	68.257927	9.372203
subset.fast5	a479c457-d155-443b-ae65-83ef270b75f8	6a94eb36563a9975b38e81c41534f6590c24867c	0	89	1	4255.000000	39.142250	31313	TRUE	4255.026250	31292	39.116000	12944	15.453017	3.077677	68.611595	9.372203	68.611595	9.372203
subset.fast5	ac9d9a6c-85af-434d-b191-50a6bb85e69d	6a94eb36563a9975b38e81c41534f6590c24867c	0	55	1	8353.635000	33.740250	26992	TRUE	8353.660000	26972	33.715250	12954	12.584984	3.194897	71.264107	9.372203	71.264107	9.372203
subset.fast5	b0c29316-f701-4bc8-a1ba-b3719db62a51	6a94eb36563a9975b38e81c41534f6590c24867c	0	49	1	34047.004750	29.314750	23451	TRUE	34047.049750	23415	29.269750	12075	13.805154	3.294143	67.727432	9.018535	67.727432	9.018535
subset.fast5	b4efaf61-cc06-4210-8577-7a47e5bffeea	6a94eb36563a9975b38e81c41534f6590c24867c	0	115	1	601.481500	29.331500	23465	TRUE	601.490250	23458	29.322750	11220	11.469684	3.177884	85.057159	10.433207	85.057159	10.433207
subset.fast5	bd5f7649-60a6-4a47-ba55-682b1fef4f17	6a94eb36563a9975b38e81c41534f6590c24867c	0	9	1	3437.020500	31.758250	25406	TRUE	3437.044250	25387	31.734500	12876	12.997604	3.262098	72.148277	9.372203	72.148277	9.372203
subset.fast5	c6326782-1b1a-4e35-af67-ea8072a58d07	6a94eb36563a9975b38e81c41534f6590c24867c	0	28	1	18549.375750	23.722250	18977	TRUE	18549.409500	18950	23.688500	9972	11.567122	3.222039	71.971443	9.372203	71.971443	9.372203
subset.fast5	c790341e-de84-40a9-88bb-5c66fca57824	6a94eb36563a9975b38e81c41534f6590c24867c	0	62	1	11659.377000	33.926500	27141	TRUE	11659.430750	27098	33.872750	12612	11.950064	3.140507	69.142097	9.018535	69.142097	9.018535
subset.fast5	d17c1abc-26e2-487a-9d54-2ebefe764325	6a94eb36563a9975b38e81c41534f6590c24867c	0	67	1	1247.667000	32.342750	25874	TRUE	1247.715750	25835	32.294000	12862	12.937472	3.231542	76.745964	9.195369	76.745964	9.195369
subset.fast5	d1bb4301-483d-4c65-a0e0-a0e0e57ecff3	6a94eb36563a9975b38e81c41534f6590c24867c	0	36	1	47467.889000	28.930750	23144	TRUE	47467.927750	23113	28.892000	8481	14.419948	2.967691	70.910439	9.725871	70.910439	9.725871
subset.fast5	f3f8a83e-8656-4970-bedb-bb31bd6d33b5	6a94eb36563a9975b38e81c41534f6590c24867c	0	26	1	23174.715000	26.504500	21203	TRUE	23174.741250	21182	26.478250	9467	10.597358	3.072305	77.630135	9.372203	77.630135	9.372203
subset.fast5	f6ac079d-0957-4403-a8d2-f57dd378e0d9	6a94eb36563a9975b38e81c41534f6590c24867c	0	18	1	3680.885250	30.947000	24757	TRUE	3680.941500	24712	30.890750	12843	12.956624	3.287548	74.270287	9.372203	74.270287	9.372203
subset.fast5	fb648b5c-5d80-4717-b327-5c549cfe4d1e	6a94eb36563a9975b38e81c41534f6590c24867c	0	82	1	71129.606000	52.726750	42181	TRUE	71129.644750	42150	52.688000	12690	13.156587	2.743041	70.733604	9.018535	70.733604	9.018535
subset.fast5	e9abf781-e94d-482a-9fc3-c84ef9a79ea3	6a94eb36563a9975b38e81c41534f6590c24867c	0	31	1	3602.572000	37.840750	30272	TRUE	3602.572000	30272	37.840750	11314	11.125484	2.923514	74.977623	9.902705	74.977623	9.902705
subset.fast5	ee5db57a-8142-4d87-817d-cacd9bb221e2	6a94eb36563a9975b38e81c41534f6590c24867c	0	112	1	17991.741000	22.742750	18194	TRUE	17991.776000	18166	22.707750	8950	12.576590	3.160140	69.672600	9.018535	69.672600	9.018535
subset.fast5	e347ce38-d8d6-46db-92d6-091eb63c7673	6a94eb36563a9975b38e81c41534f6590c24867c	0	76	1	74829.475000	38.237000	30589	TRUE	74829.496250	30572	38.215750	12583	10.248567	2.942765	64.544418	8.311199	64.544418	8.311199
subset.fast5	e6d10b03-74fa-4c74-8d1f-5578573be31c	6a94eb36563a9975b38e81c41534f6590c24867c	0	71	1	687.581500	26.983250	21586	TRUE	687.594000	21576	26.970750	10916	10.295390	3.140737	77.099632	9.725871	77.099632	9.725871
subset.fast5	f9284be9-f149-4cc5-a702-477f568cfea6	6a94eb36563a9975b38e81c41534f6590c24867c	0	111	1	62644.166000	28.106000	22484	TRUE	62644.168500	22482	28.103500	9774	13.771561	3.093970	68.965263	9.372203	68.965263	9.372203
subset.fast5	fdac3304-32ed-4284-bc33-ff1e54fbd29b	6a94eb36563a9975b38e81c41534f6590c24867c	0	82	1	83037.960750	42.139000	33711	TRUE	83038.024500	33660	42.075250	12168	13.142986	2.903248	69.142097	9.549037	69.142097	9.549037
subset.fast5	ff08cbab-fb2b-41c5-a5f4-10f631a76e94	6a94eb36563a9975b38e81c41534f6590c24867c	0	49	1	1364.581250	28.788750	23031	TRUE	1364.593750	23021	28.776250	12945	13.949854	3.395573	73.209282	9.372203	73.209282	9.372203
